From,Subject,Urgency,Deserve_Score,Grant_Status
Michael Perrelli,Party Plans,high,8,waiting
Melissa Wayne,Respect From Students,medium,7.5,waiting
Gary Tatum,Finding An Apartment,HIGH,6,waiting
Boris Bodunov,Help With Homework,low,five,waiting
Alexander Linsky,Lost Dog,Low,,waiting
Bill Wade,Bless Grandma,2,9,waiting
Marilyn Turner,Sister's Piano Lessons,urgent,8.5,waiting
Alfredo Gomez,New Kitten,medium,ten,waiting
Nils Johansson,Sell Old Car,,3,waiting
Ruth Meyer,Don't Want To Be Lonely,CRITICAL,7,waiting
David Harrison,Paying Off Debit,low,4.5,waiting
Paul Wilder,Mother's Health,medium,six,waiting
Jeremy Thomas,Killing In The Stock Market,urgent,two,waiting
Nathan Sharp,Making The Cut,3,9,waiting
Daniel Fowler,Grows Tomatoes,high,8,waiting
Martin Roberts,Win Lottery,medium,7,waiting
Diane Bailey,Vacation in Hawaii,LOW,one,waiting
Roberta Crawford,Pass Exams,high,,waiting
Jane Shapiro,World Peace,low,5,waiting
Sharon Carter,Get Taller,High,4,waiting
