From,Subject,Urgency,Deserve_Score,Grant_Status
Michael Perrelli,Party Plans,high,8,grant
Melissa Wayne,Respect From Students,medium,7.5,waiting
Gary Tatum,Finding An Apartment,HIGH,6,waiting
Boris Bodunov,Help With Homework,low,five,reject
Alexander Linsky,Lost Dog,Low,,Grant
Bill Wade,Bless Grandma,2,9,WAITING
Marilyn Turner,Sister's Piano Lessons,urgent,8.5,grant
Alfredo Gomez,New Kitten,medium,ten,grant
Nils Johansson,Sell Old Car,,3,reject
Ruth Meyer,Don't Want To Be Lonely,CRITICAL,7,waiting
David Harrison,Paying Off Debit,low,4.5,waiting
Paul Wilder,Mother's Health,medium,six,Grant
Jeremy Thomas,Killing In The Stock Market,urgent,two,reject
Nathan Sharp,Making The Cut,3,9,waiting
Daniel Fowler,Grows Tomatoes,high,8,Grant
Martin Roberts,Win Lottery,medium,7,waiting
Diane Bailey,Vacation in Hawaii,LOW,one,grant
Roberta Crawford,Pass Exams,high,,Reject
Jane Shapiro,World Peace,low,5,Grant
Sharon Carter,Get Taller,High,4,waiting
